Nome,Preço,Vendedor,Link
Smartphone Apple iPhone 13 Vermelho Usado 4 GB 128GB Câmera Dupla Apple A15 Bionic 1 Chip iOS 15,"R$ 2.898,00",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-vermelho-usado-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 13 Mini Usado 128GB Câmera Dupla,"R$ 2.906,05",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-mini-usado-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 11 Pro Max Usado 256GB Câmera Tripla,"R$ 2.929,00",Menor preço via Extra,https://www.zoom.com.br/celular/smartphone-apple-iphone-11-pro-max-usado-256gb-ios?_lc=11
Smartphone Apple iPhone 12 Pro 128GB 6GB RAM Usado,"R$ 2.969,99",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-pro-usado-128gb-camera-tripla?_lc=11
Smartphone Apple iPhone 12 Usado 256GB Câmera Dupla,"R$ 2.999,00",Menor preço via Pontofrio,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-usado-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 13 Usado 256GB Câmera Dupla,"R$ 3.058,13",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-usado-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 12 128GB Câmera Dupla,"R$ 3.098,70",Menor preço via Amazon,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-128gb-ios?_lc=11
Smartphone Apple iPhone 12 Vermelho 64GB Câmera Dupla,"R$ 3.134,99",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-64gb-ios?_lc=11
Smartphone Apple iPhone 13 Vermelho Usado 4 GB 256GB Câmera Dupla Apple A15 Bionic 1 Chip iOS 15,"R$ 3.157,85",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-vermelho-usado-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 Usado 128GB Câmera Dupla,"R$ 3.162,65",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-usado-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 Usado 256GB Câmera Dupla,"R$ 3.410,60",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-usado-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 12 Vermelho Usado 256GB Câmera Dupla,"R$ 3.419,00",Menor preço via Extra,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-vermelho-usado-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 7 Plus 128GB 12.0 MP Câmera Dupla,"R$ 3.500,00",Menor preço via Americanas,https://www.zoom.com.br/celular/smartphone-apple-iphone-7-plus-128gb-4g?_lc=11
Smartphone Apple iPhone 13 Mini Vermelho Usado 128GB Câmera Dupla,"R$ 3.529,90",Menor preço via Pontofrio,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-mini-vermelho-usado-128gb-camera-dupla?_lc=11
