Nome,Preço,Vendedor,Link
Smartphone Apple iPhone 13 Pro 128GB Câmera Tripla,"R$ 9.176,00",Menor preço via Amazon,https://www.zoom.com.br/celular/smartphone-apple-iphone-13-pro-128gb-ios-camera-tripla?_lc=11
Smartphone Apple iPhone 15 128GB Câmera Dupla,"R$ 4.599,99",Menor preço via KaBuM!,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-128gb-camera-dupla?_lc=11
Celular Apple iPhone 15 256GB Câmera Dupla,"R$ 5.399,10",Menor preço via Extra,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-iphone-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 15 512GB Câmera Dupla,"R$ 6.299,99",Menor preço via KaBuM!,https://www.zoom.com.br/celular/smartphone-apple-iphone-15-iphone-512gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 Pro Max 512GB Câmera Tripla,"R$ 9.499,00",Menor preço via Extra,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-max-512gb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 Pro Max 1TB Câmera Tripla,"R$ 11.599,00",Menor preço via Carrefour,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-max-1tb-camera-tripla?_lc=11
Smartphone Apple iPhone 14 Plus 512GB Câmera Dupla,"R$ 5.719,90",Menor preço via Pontofrio,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-512gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 Plus 256GB Câmera Dupla,"R$ 4.699,00",Menor preço via Amazon,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-256gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 Plus 128GB Câmera Dupla,"R$ 4.199,00",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 512GB Câmera Dupla,"R$ 5.929,00",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-512gb-camera-dupla?_lc=11
Smartphone Apple iPhone 14 Plus vermelho 128GB Câmera Dupla,"R$ 4.491,76",Menor preço via Fast Shop,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-vermelho-128gb-camera-dupla?_lc=11
Smartphone Apple iPhone 12 256GB Câmera Dupla,"R$ 4.499,10",Menor preço via Magazine Luiza,https://www.zoom.com.br/celular/smartphone-apple-iphone-12-256gb-ios?_lc=11
Smartphone Apple iPhone 14 Pro 512GB Câmera Tripla,"R$ 7.755,90",Menor preço via Pontofrio,https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-512gb-camera-tripla?_lc=11
