Frequência,Nome,Preço,Link
2,Smartphone Apple iPhone 15 128GB Câmera Dupla,"R$ 4.599,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-128gb-camera-dupla?_lc=11
2,Celular Apple iPhone 15 Pro Max 8 GB 256GB Câmera Tripla,"R$ 7.599,05",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-max-256gb-camera-tripla?_lc=11
2,Celular Apple iPhone 15 Pro 128GB Câmera Tripla,"R$ 6.649,05",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-8gb-ram-128gb-camera-tripla?_lc=11
2,Celular Apple iPhone 15 256GB Câmera Dupla,"R$ 5.399,10",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-iphone-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 15 Pro 256GB Câmera Tripla,"R$ 7.029,90",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-256gb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 14 Plus 256GB Câmera Dupla,"R$ 4.699,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 14 256GB Câmera Dupla,"R$ 4.699,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 15 Pro 512GB Câmera Tripla,"R$ 8.399,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-512gb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 15 Pro Max 512GB Câmera Tripla,"R$ 8.549,90",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-max-8gb-ram-512gb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 15 Plus 128GB Câmera Dupla,"R$ 5.999,00",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-plus-iphone-128gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 15 Plus 256GB Câmera Dupla,"R$ 6.499,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-plus-iphone-256gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 14 Pro Max Usado 128GB Câmera Tripla,"R$ 4.701,65",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-pro-max-usado-128gb-camera-tripla?_lc=11
2,Smartphone Apple iPhone 14 Plus 512GB Câmera Dupla,"R$ 5.719,90",https://www.zoom.com.br/celular/smartphone-apple-iphone-14-plus-512gb-camera-dupla?_lc=11
2,Smartphone Apple iPhone 15 Pro Max 1TB Câmera Tripla,"R$ 10.299,99",https://www.zoom.com.br/celular/smartphone-apple-iphone-15-pro-max-8gb-ram-1tb-camera-tripla?_lc=11
